"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm"
"database20UNFOLD","pnml",2892244,0.27724732,4006838.7,0.38409114
"database2UNFOLD","pnml",188,0.1546,209.5,0.1723
"database40UNFOLD","pnml",,,,
"database4UNFOLD","pnml",3696,0.20625,5030.1,0.2807
"dekker-10","pnml",3083,0.5138,4626,0.7709
"dekker-100","pnml",,,,
"dekker-15","pnml",10193,0.53297,15350,0.8026
"dekker-20","pnml",,,,
"dekker-200","pnml",,,,
"dekker-50","pnml",,,,
"distributeur-01-unfolded-02","pnml",786,0.4549,1083,0.6265
"distributeur-01-unfolded-10","pnml",,,,
"echo-d2r11","pnml",73741,0.0753993,78691.6,0.0804612
"echo-d2r15","pnml",184675,0.05186629,196313.3,0.05513491
"echo-d2r19","pnml",391143,0.04146912,405527.1,0.04299413
"echo-d2r9","pnml",37272,0.0889653,41060.3,0.0980076
"echo-d3r3","pnml",12987,0.2379,16041,0.29384
"echo-d3r5","pnml",248522,0.1445273,282028.3,0.1640129
"echo-d3r7","pnml",1385281,0.093554163,1536606.7,0.10377386
"echo-d4r3","pnml",172639,0.199318,210488,0.243016
"echo-d5r3","pnml",2306196,0.19256534,2786097.1,0.23263666
"EnergyBus","pnml",483379,0.694999,817255,1.17504
"eratosthenes-010","pnml",,,,
"eratosthenes-020","pnml",,,,
"eratosthenes-050","pnml",,,,
"eratosthenes-100","pnml",,,,
"eratosthenes-200","pnml",,,,
"eratosthenes-500","pnml",,,,
"erk-000001","pnml",39,0.322,45.8,0.379
"erk-000010","pnml",39,0.322,45.8,0.379
"erk-000100","pnml",39,0.322,45.8,0.379
"erk-001000","pnml",,,,
"erk-010000","pnml",,,,
"erk-100000","pnml",,,,
"FMS-10","pnml",70,0.159,75.7,0.172
"FMS-100","pnml",70,0.159,75.7,0.172
"FMS-2","pnml",70,0.159,75.7,0.172
"FMS-20","pnml",70,0.159,75.7,0.172
"FMS-200","pnml",70,0.159,75.7,0.172
"FMS-5","pnml",70,0.159,75.7,0.172
"FMS-50","pnml",70,0.159,75.7,0.172
"FMS-500","pnml",,,,
"galloc_res-3","pnml",89508,0.566137,128244,0.811143
"galloc_res-5","pnml",,,,
"hc3k4p4b12","pnml",209003,0.06184985,219675.5,0.06500815
"hc4k3p3b12","pnml",946641,0.071348754,999213.23,0.075311147
"hc5k3p3b15","pnml",14613257,0.0635823898,15193867.8,0.0661086318
"HouseConstruction-002","pnml",85,0.182,99.4,0.212
"HouseConstruction-005","pnml",85,0.182,99.4,0.212
"HouseConstruction-010","pnml",85,0.182,99.4,0.212
"HouseConstruction-020","pnml",85,0.182,99.4,0.212
"HouseConstruction-050","pnml",85,0.182,99.4,0.212
"HouseConstruction-100","pnml",85,0.182,99.4,0.212
"HouseConstruction-200","pnml",85,0.182,99.4,0.212
"HouseConstruction-500","pnml",,,,
"IBM319","pnml",1341,0.029778,1340.4,0.029765
"IBM5964","pnml",1405,0.038433,1586.9,0.043409
"IBM703","pnml",1871,0.025145,2092.4,0.028121
"IBMB2S565S3960","pnml",1482,0.030327,1492,0.030532
"IOTP_c12m10p15d17","pnml",602,0.1205,790.6,0.1583
"IOTP_c1m1p1d1","pnml",602,0.1205,790.6,0.1583
"IOTP_c3m3p3d3","pnml",602,0.1205,790.6,0.1583
"IOTP_c5m4p3d2","pnml",602,0.1205,790.6,0.1583
"Kanban-10","pnml",53,0.207,63.4,0.248
"Kanban-100","pnml",53,0.207,63.4,0.248
"Kanban-1000","pnml",,,,
"Kanban-20","pnml",53,0.207,63.4,0.248
"Kanban-200","pnml",,,,
"Kanban-5","pnml",53,0.207,63.4,0.248
"Kanban-50","pnml",,,,
"Kanban-500","pnml",,,,
"lamport_fmea-2","pnml",1832,0.2766,1933,0.2919
"lamport_fmea-3","pnml",4029,0.25827,3972.4,0.25464
"lamport_fmea-4","pnml",7573,0.2439,7118.3,0.22925
"lamport_fmea-5","pnml",12832,0.23191,11638,0.21033
"lamport_fmea-6","pnml",,,,
"lamport_fmea-7","pnml",,,,
"lamport_fmea-8","pnml",,,,
"MAPK-160","pnml",126,0.191,146,0.222
"MAPK-20","pnml",126,0.191,146,0.222
"MAPK-320","pnml",,,,
"MAPK-40","pnml",126,0.191,146,0.222
"MAPK-8","pnml",126,0.191,146,0.222
"MAPK-80","pnml",126,0.191,146,0.222
"MultiwaySync","pnml",18444,0.176019,24186.3,0.230821
"neoelection-2.unf","pnml",,,,
"neoelection-3.unf","pnml",,,,
"neoelection-4.unf","pnml",,,,
"neoelection-5.unf","pnml",,,,
"neoelection-6.unf","pnml",,,,
"neoelection-7.unf","pnml",,,,
"neoelection-8.unf","pnml",,,,
"open_system_0","pnml",3094,0.088786,3419.4,0.098123
"parking_1_4","pnml",884,0.1402,1219,0.1933
"parking_2_8","pnml",2281,0.082834,2908.3,0.10561
"parking_4_16","pnml",9677,0.0732745,11574.3,0.0876413
"parking_4_32","pnml",30613,0.0737192,36105.8,0.0869463
"parking_8_32","pnml",57828,0.0790172,75772.1,0.103536
"parking_8_64","pnml",163315,0.08121306,213818.9,0.1063276
"Peterson-2","pnml",2062,0.16044,2555.2,0.19882
"Peterson-3","pnml",13622,0.16816,16731,0.20653
"Peterson-4","pnml",,,,
"Peterson-5","pnml",,,,
"Peterson-6","pnml",,,,
"Peterson-7","pnml",,,,
"philo_dyn-10-unfolded","pnml",,,,
"philo_dyn-20-unfolded","pnml",,,,
"philo_dyn-3-unfolded","pnml",1266,0.5024,1713,0.6799
"Philosophers-10","pnml",360,0.144,400.2,0.1601
"Philosophers-100","pnml",3778,0.015112,3824.34,0.0152973
"Philosophers-1000","pnml",39127,0.00156508,39318.813,0.0015727525
"Philosophers-10000","pnml",379977,0.0001519908,380024.7943,0.0001520099177
"Philosophers-20","pnml",737,0.0737,782,0.0782
"Philosophers-200","pnml",7577,0.007577,7624.52,0.00762452
"Philosophers-2000","pnml",78303,0.00078303,78580.409,0.00078580409
"Philosophers-5","pnml",167,0.267,201,0.321
"Philosophers-50","pnml",1878,0.030048,1923,0.030768
"Philosophers-500","pnml",19558,0.00312928,19687.09,0.003149934
"Philosophers-5000","pnml",189979,0.0003039664,190024.825,0.00030403972
"planning","pnml",,,,
"PolyORB-LF-S02-J04-T06-unfolded","pnml",,,,
"PolyORB-LF-S02-J04-T08-unfolded","pnml",,,,
"PolyORB-LF-S02-J04-T10-unfolded","pnml",,,,
"PolyORB-LF-S02-J06-T06-unfolded","pnml",,,,
"PolyORB-LF-S02-J06-T08-unfolded","pnml",,,,
"PolyORB-LF-S02-J06-T10-unfolded","pnml",,,,
"PolyORB-LF-S04-J04-T06-unfolded","pnml",,,,
"PolyORB-LF-S04-J04-T08-unfolded","pnml",,,,
"PolyORB-LF-S04-J04-T10-unfolded","pnml",,,,
"PolyORB-LF-S04-J06-T06-unfolded","pnml",,,,
"PolyORB-LF-S04-J06-T08-unfolded","pnml",,,,
"PolyORB-LF-S04-J06-T10-unfolded","pnml",,,,
"PolyORB-LF-S06-J04-T04-unfolded","pnml",,,,
"PolyORB-LF-S06-J04-T06-unfolded","pnml",,,,
"PolyORB-LF-S06-J04-T08-unfolded","pnml",,,,
"PolyORB-LF-S06-J06-T04-unfolded","pnml",,,,
"PolyORB-LF-S06-J06-T06-unfolded","pnml",,,,
"PolyORB-LF-S06-J06-T08-unfolded","pnml",,,,
"PolyORB-NT-S05-J20-unfolded","pnml",,,,
"PolyORB-NT-S05-J30-unfolded","pnml",,,,
"PolyORB-NT-S05-J40-unfolded","pnml",155385,0.1553679,173824,0.1738049
"PolyORB-NT-S05-J60-unfolded","pnml",,,,
"PolyORB-NT-S05-J80-unfolded","pnml",535090,0.1915037,621127.7,0.2222958
"PolyORB-NT-S10-J20-unfolded","pnml",,,,
"PolyORB-NT-S10-J30-unfolded","pnml",,,,
"PolyORB-NT-S10-J40-unfolded","pnml",,,,
"PolyORB-NT-S10-J60-unfolded","pnml",,,,
"PolyORB-NT-S10-J80-unfolded","pnml",,,,
"ProductionCell","pnml",2902,0.12305,3856.4,0.16352
"QCertifProtocol_02-unfold","pnml",900,0.1869,1052,0.2185
"QCertifProtocol_06-unfold","pnml",6312,0.20153,7447.2,0.23778
"QCertifProtocol_10-unfold","pnml",20216,0.20884,24382,0.25188
"QCertifProtocol_18-unfold","pnml",88556,0.214003,106354,0.257013
"QCertifProtocol_22-unfold","pnml",148266,0.21184,180567,0.257991
"QCertifProtocol_28-unfold","pnml",284559,0.2128168,336568.7,0.2517139
"QCertifProtocol_32-unfold","pnml",413859,0.2148984,500162.3,0.2597118
"raft_02","pnml",452,0.3104,603.1,0.4142
"raft_03","pnml",1638,0.3154,2221,0.4276
"raft_04","pnml",4521,0.32109,6312.7,0.44834
"raft_05","pnml",10586,0.33443,14835,0.46865
"raft_06","pnml",20230,0.32412,28956,0.46391
"raft_07","pnml",,,,
"raft_08","pnml",,,,
"raft_09","pnml",110097,0.375463,158332,0.539959
"raft_10","pnml",,,,
"railroad-005-pt","pnml",,,,
"railroad-010-pt","pnml",,,,
"railroad-020-pt","pnml",,,,
"railroad-050-pt","pnml",,,,
"railroad-100-pt","pnml",,,,
"RAS-C-10","pnml",300,0.125,324.3,0.1351
"RAS-C-100","pnml",3180,0.01325,3205.83,0.0133576
"RAS-C-15","pnml",460,0.08519,484.9,0.08979
"RAS-C-20","pnml",620,0.06458,645.2,0.0672
"RAS-C-3","pnml",68,0.315,89.8,0.416
"RAS-C-5","pnml",140,0.233,163,0.271
"RAS-C-50","pnml",1580,0.026333,1605.7,0.026761
"RAS-R-10","pnml",127,0.144,142,0.161
"RAS-R-100","pnml",1297,0.016052,1312.9,0.016248
"RAS-R-15","pnml",192,0.1,207.1,0.1078
"RAS-R-2","pnml",23,0.48,32,0.67
"RAS-R-20","pnml",257,0.07649,272.3,0.08104
"RAS-R-3","pnml",36,0.38,47,0.49
"RAS-R-5","pnml",62,0.258,75.2,0.313
"RAS-R-50","pnml",647,0.031716,662.72,0.032486
"ring","pnml",1743,0.14413,2225.3,0.18401
"rwmutex-r1000w10","pnml",66204,0.0108524,125932.1,0.02064325
"rwmutex-r100w10","pnml",6924,0.098352,12588,0.17881
"rwmutex-r10w10","pnml",902,0.451,1486,0.7432
"rwmutex-r10w100","pnml",25856,0.51099,34869,0.68911
"rwmutex-r10w1000","pnml",2058176,0.5019207,2745520,0.6695409
"rwmutex-r10w20","pnml",2334,0.5557,3762,0.8957
"rwmutex-r10w2000","pnml",8121010,0.50127835,10839390,0.66907338
"rwmutex-r10w50","pnml",10672,0.6841,17507,1.1222
"rwmutex-r10w500","pnml",753014,0.7167466,1148647,1.093325
"rwmutex-r2000w10","pnml",132224,0.0054637113,251692.31,0.010400337
"rwmutex-r20w10","pnml",1646,0.3429,2774,0.5778
"rwmutex-r500w10","pnml",36038,0.02324432,68105.36,0.04392761
"SafeBus-03-unfolded","pnml",2556,0.4928,4150,0.8
"SafeBus-06-unfolded","pnml",,,,
"SafeBus-10-unfolded","pnml",,,,
"SafeBus-15-unfolded","pnml",,,,
"SafeBus-20-unfolded","pnml",9062940,0.84440062,17187585,1.6013796
"sg-10-5-10","pnml",65413,0.02890288,67327.34,0.02974874
"sg-13-6-13","pnml",142734,0.02250773,145939.2,0.02301316
"sg-2-1-2","pnml",795,0.1624,942.2,0.1925
"sg-4-2-4","pnml",4677,0.071645,5043.4,0.077258
"sg-8-4-8","pnml",33869,0.0357957,35116.1,0.0371137
"shared_memory-pt-10","pnml",14390,0.52308,20131,0.73176
"shared_memory-pt-100","pnml",105509029,0.50958212,141213296,0.682024768
"shared_memory-pt-20","pnml",203128,0.537347,282529,0.747391
"shared_memory-pt-200","pnml",,,,
"shared_memory-pt-5","pnml",1078,0.478,1551,0.6878
"shared_memory-pt-50","pnml",,,,
"simple_lbs-10","pnml",27280,0.43357,31424,0.49942
"simple_lbs-15","pnml",,,,
"simple_lbs-2","pnml",561,0.3896,809.5,0.5622
"simple_lbs-20","pnml",,,,
"simple_lbs-5","pnml",4938,0.46497,6194.8,0.58332
"soli0_counter_square5","pnml",2422,0.5654,3548,0.8281
"soli0_square5","pnml",1192,0.2838,1540,0.3666
"soli1","pnml",1456,0.2903,1926,0.3839
"soli1_counter","pnml",2970,0.5833,4321,0.8486
"soli2","pnml",1920,0.282,2401,0.3526
"soli2_counter","pnml",4028,0.5838,5816,0.8429
"SwimmingPool-1","pnml",31,0.49,41,0.65
"SwimmingPool-10","pnml",31,0.49,41,0.65
"SwimmingPool-2","pnml",31,0.49,41,0.65
"SwimmingPool-3","pnml",31,0.49,41,0.65
"SwimmingPool-4","pnml",31,0.49,41,0.65
"SwimmingPool-5","pnml",31,0.49,41,0.65
"SwimmingPool-6","pnml",31,0.49,41,0.65
"SwimmingPool-7","pnml",31,0.49,41,0.65
"SwimmingPool-8","pnml",31,0.49,41,0.65
"SwimmingPool-9","pnml",31,0.49,41,0.65
"TokenRing-10-unfolded","pnml",22612,0.168205,28374.4,0.211071
"TokenRing-15-unfolded","pnml",118719,0.128248,124174,0.134141
"TokenRing-20-unfolded","pnml",358313,0.09648511,422068.8,0.113653
"TokenRing-30-unfolded","pnml",,,,
"TokenRing-40-unfolded","pnml",,,,
"TokenRing-50-unfolded","pnml",,,,
"TokenRing-5-unfolded","pnml",1582,0.2817,1959,0.3489
"unf-8x8-4stageSEN-01","pnml",35380,0.35574,44988,0.45234
"unf-8x8-4stageSEN-02","pnml",,,,
"unf-8x8-4stageSEN-05","pnml",35380,0.35574,44988,0.45234
"unf-8x8-4stageSEN-10","pnml",35380,0.35574,44988,0.45234
"unf-8x8-4stageSEN-20","pnml",35380,0.35574,44988,0.45234
"unf-8x8-4stageSEN-50","pnml",35380,0.35574,44988,0.45234
"UtahNoC","pnml",43271,0.205045,59041.5,0.279775
"Vasy2003","pnml",84207,0.223741,113257,0.300929
"afcs_01_a","pnml",232,0.242,303,0.316
"afcs_01_b","pnml",889,0.069627,1057.9,0.082854
"afcs_02_a","pnml",525,0.1675,654.2,0.2087
"afcs_02_b","pnml",2393,0.056944,2516.2,0.059875
"afcs_03_a","pnml",1212,0.1848,1679,0.256
"afcs_03_b","pnml",4639,0.052592,5620.9,0.063723
"afcs_04_a","pnml",1770,0.15754,2367.4,0.21072
"afcs_04_b","pnml",6976,0.046101,8364.11,0.0552743
"afcs_05_a","pnml",2874,0.16748,4001.6,0.2332
"afcs_05_b","pnml",9110,0.0393759,10331.3,0.0446548
"afcs_06_a","pnml",3506,0.14407,4662.1,0.19158
"afcs_06_b","pnml",11972,0.0364635,13429,0.040901
"afcs_12_a","pnml",12182,0.1301,16268,0.17374
"afcs_12_b","pnml",,,,
"afcs_24_a","pnml",45194,0.123066,60641.6,0.16513
"afcs_24_b","pnml",,,,
"afcs_48_a","pnml",,,,
"afcs_48_b","pnml",490012,0.031517701,599407.8,0.038554068
"afcs_96_a","pnml",373773,0.07462811,477848.1,0.0954079
"afcs_96_b","pnml",1915478,0.030840094,2284055.8,0.03677437
"AirplaneLD-pt-0010","pnml",2395,0.3058,3290,0.42
"AirplaneLD-pt-0020","pnml",9135,0.34198,12395,0.46401
"AirplaneLD-pt-0050","pnml",55695,0.369939,74378.3,0.494037
"AirplaneLD-pt-0100","pnml",221275,0.380883,293463,0.505142
"AirplaneLD-pt-0200","pnml",882475,0.3867532,1166017,0.5110183
"AirplaneLD-pt-0500","pnml",5506075,0.39038682,7257968.9,0.51459803
"AirplaneLD-pt-1000","pnml",22012095,0.39161748,28992089,0.51579865
"AirplaneLD-pt-2000","pnml",88024095,0.392236005,115888932,0.516401922
"AirplaneLD-pt-4000","pnml",352048095,0.392546246,463396905,0.516704161
"deploy_2_a","pnml",2804,0.23355,3627.5,0.30214
"deploy_2_b","pnml",,,,
"deploy_3_a","pnml",7951,0.24822,10426,0.32549
"deploy_3_b","pnml",,,,
"deploy_4_a","pnml",17679,0.26396,22160,0.33087
"deploy_4_b","pnml",181942,0.08438994,202397.9,0.09387795
"deploy_5_a","pnml",32411,0.266757,41833.8,0.344311
"deploy_5_b","pnml",,,,
"deploy_6_a","pnml",56743,0.282771,72488.2,0.361235
"deploy_6_b","pnml",,,,
"deploy_7_a","pnml",86284,0.278393,108736,0.350832
"deploy_7_b","pnml",,,,
"des_00_a","pnml",1251,0.1431,1685,0.1928
"des_00_b","pnml",3303,0.052992,3828.9,0.06143
"des_01_a","pnml",1307,0.1445,1727,0.191
"des_01_b","pnml",3745,0.056113,4462.8,0.066868
"des_02_a","pnml",1407,0.143,1877,0.1907
"des_02_b","pnml",3884,0.056427,4668,0.067817
"des_05_a","pnml",1635,0.13164,2160.1,0.17392
"des_05_b","pnml",4148,0.055086,4990.9,0.06628
"des_10_a","pnml",2070,0.11924,2692.1,0.15507
"des_10_b","pnml",4608,0.053137,5564.9,0.064171
"des_20_a","pnml",3240,0.10931,4078.1,0.13759
"des_20_b","pnml",5828,0.0520543,7125.97,0.0636475
"des_30_a","pnml",4763,0.10657,5836.4,0.13058
"des_30_b","pnml",7400,0.0529896,9157.53,0.0655749
"des_40_a","pnml",6723,0.10622,8073.8,0.12756
"des_40_b","pnml",9410,0.0549617,11728.9,0.0685058
"des_50_a","pnml",9083,0.10674,10744,0.12626
"des_50_b","pnml",11820,0.057387,14781.8,0.0717669
"des_60_a","pnml",11843,0.107572,13846.5,0.12577
"des_60_b","pnml",14630,0.0599762,18305.2,0.075043
"dlcsh_2_a","pnml",32197,0.192861,45643.8,0.273408
"dlcsh_2_b","pnml",,,,
"dlcsh_3_a","pnml",311754,0.1850427,446276.2,0.2648888
"dlcsh_3_b","pnml",,,,
"dlcsh_4_a","pnml",2215357,0.2506142,3634530,0.4111594
"dlcsh_4_b","pnml",18000426,0.0561749482,21023202.3,0.0656082973
"dlcsh_5_a","pnml",8026676,0.24975554,13285106,0.4133752
"dlcsh_5_b","pnml",65262012,0.0603305364,75492175.97,0.06978766561
"dlcsh_6_a","pnml",18569641,0.20066686,28012507,0.30270816
"dlcsh_6_b","pnml",,,,
"dnawalk-01","pnml",354,0.3321,435.4,0.4084
"dnawalk-02","pnml",392,0.3333,469.3,0.3991
"dnawalk-03","pnml",387,0.3291,492.4,0.4187
"dnawalk-04","pnml",1565,0.1841,1889,0.2222
"dnawalk-05","pnml",1553,0.1827,1879,0.2211
"dnawalk-06","pnml",1592,0.1873,1945,0.2288
"dnawalk-07","pnml",1759,0.2069,2246,0.2642
"dnawalk-08","pnml",1874,0.267,2216,0.3156
"dnawalk-09","pnml",1832,0.261,2158,0.3074
"dnawalk-10","pnml",2079,0.2962,2664,0.3795
"dnawalk-11","pnml",1942,0.2766,2343,0.3338
"dnawalk-12","pnml",2332,0.2265,2688.9,0.26116
"dnawalk-13","pnml",2334,0.22669,2872.2,0.27897
"dnawalk-14","pnml",2428,0.23582,2883,0.28001
"dnawalk-15","pnml",2657,0.25806,3353.6,0.32572
"dnawalk-16","pnml",,,,
"dnawalk-17","pnml",,,,
"dnawalk-18","pnml",93621,0.154412,103659,0.170968
"G-PPP-1000-10","pnml",183,0.252,224,0.308
"G-PPP-1000-100","pnml",183,0.252,224,0.308
"G-PPP-1000-1000","pnml",183,0.252,224,0.308
"G-PPP-100-10","pnml",183,0.252,224,0.308
"G-PPP-100-100","pnml",183,0.252,224,0.308
"G-PPP-100-1000","pnml",183,0.252,224,0.308
"G-PPP-100-10000","pnml",183,0.252,224,0.308
"G-PPP-100-100000","pnml",183,0.252,224,0.308
"G-PPP-10-10","pnml",183,0.252,224,0.308
"G-PPP-10-100","pnml",183,0.252,224,0.308
"G-PPP-10-1000000000","pnml",,,,
"G-PPP-1-1","pnml",183,0.252,224,0.308
"G-PPP-1-10","pnml",183,0.252,224,0.308
"G-PPP-1-100","pnml",183,0.252,224,0.308
"G-PPP-1-1000","pnml",183,0.252,224,0.308
"G-PPP-1-10000","pnml",183,0.252,224,0.308
"G-PPP-1-100000","pnml",183,0.252,224,0.308
"ht_d2k1p8b00","pnml",128,0.615,185,0.891
"ht_d2k2p1b00","pnml",784,0.2356,958.2,0.2879
"ht_d2k3p2b04","pnml",2754,0.16346,3408,0.20228
"ht_d3k3p2b06","pnml",55634,0.111572,66348.6,0.13306
"ht_d4k3p2b08","pnml",1029413,0.098061747,1176300.7,0.11205425
"ht_d5k3p2b10","pnml",15859164,0.0866375274,17595947,0.0961254539
"PaceMaker","pnml",1070,0.093206,1061.1,0.092429
"SmallOperatingSystem-MT0016DC0008","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0032DC0008","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0032DC0016","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0064DC0016","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0064DC0032","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0128DC0032","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0128DC0064","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0256DC0064","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT0256DC0128","pnml",,,,
"SmallOperatingSystem-MT0512DC0128","pnml",,,,
"SmallOperatingSystem-MT0512DC0256","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT1024DC0256","pnml",34,0.47,43,0.6
"SmallOperatingSystem-MT1024DC0512","pnml",,,,
"SmallOperatingSystem-MT2048DC0512","pnml",,,,
"SmallOperatingSystem-MT2048DC1024","pnml",,,,
"SmallOperatingSystem-MT4096DC1024","pnml",,,,
"SmallOperatingSystem-MT4096DC2048","pnml",,,,
"SmallOperatingSystem-MT8192DC2048","pnml",,,,
"SmallOperatingSystem-MT8192DC4096","pnml",,,,
"tcp10","pnml",343,0.357,489,0.51
"tcp15","pnml",,,,
"tcp20","pnml",,,,
"tcp25","pnml",343,0.357,489,0.51
"tcp30","pnml",343,0.357,489,0.51
"tcp35","pnml",343,0.357,489,0.51
"tcp40","pnml",343,0.357,489,0.51
"tcp5","pnml",343,0.357,489,0.51
"tcp50","pnml",,,,
"trg_1-20-0","pnml",96,0.5,137,0.715
"trg_1-50-0","pnml",96,0.5,137,0.715
"trg_2-01-1","pnml",360,0.1648,425.3,0.1947
"trg_3-01-1","pnml",858,0.08827,968.2,0.09961
"trg_3-02-6","pnml",858,0.08827,968.2,0.09961
"trg_4-02-2","pnml",1773,0.061768,1950.9,0.067966
